Location ▾,▾ Q1-2020,▾ Q2-2020,▾ Q3-2020,▾ Q4-2020,▾ Q1-2021,▾ Q2-2021,▾ Q3-2021,▾ Q4-2021,▾ Q1-2022,▾ Q2-2022,▾ Q3-2022,▾ Q4-2022,▾ Q1-2023,▾ Q2-2023
Australia,74.51,70.48,72.08,73.54,74.34,75.13,74.83,75.31,76.71,77.14,77.55,77.55,77.48,77.54
Austria,73.19,70.19,71.83,71.7,71.29,71.85,73.06,73.41,73.95,74.37,73.81,73.94,73.93,74.39
Belgium,65.2,64.01,64.52,64.01,63.67,65.1,66.28,66.06,66.51,66.16,66.81,66.67,66.78,66.15
Canada,73.1,64.57,70.5,72.27,72.2,72.67,74.03,75.13,75.3,75.83,75.53,75.8,76.23,76.03
Chile,63.17,51.24,52.61,56.39,57.38,57.07,59.09,60.34,61.53,62.1,62.11,61.97,62.35,63.12
Colombia,63.12,52.18,56.38,59.67,57.21,57.64,58.26,58.3,60.76,62.37,62.05,61.18,62.31,63.85
Costa Rica,61.96,49.7,52.41,55.26,56.04,55.6,58.33,58.65,58.62,60.02,60.91,60.69,58.99,59.31
Czechia,75.03,74.27,74.17,74.08,73.96,73.9,74.7,75.03,75.45,75.47,75.58,75.4,75.01,75.36
Denmark,75.02,74.2,73.95,74.44,74.07,75.73,75.66,76.68,76.45,77.09,76.84,76.74,76.93,76.61
Estonia,74.79,72.19,73.29,73.71,73.53,72.88,74.46,75.11,76.3,76.16,76.36,76.84,76.49,76.54
Finland,72.18,70.02,71.06,71.36,71.65,72.72,72.79,73.48,73.92,74.55,74.09,74.64,74.29,74.7
France,66.7,65.64,65.9,66.23,66.52,67.13,67.59,67.74,67.89,68.04,68.36,68.28,68.46,68.47
Germany,74.52,74.14,74.11,74.66,74.51,75.23,76.21,76.4,76.58,76.86,76.93,77.21,77.27,77.46
Greece,54.82,50.57,55.55,53.76,53.63,57.12,58.93,59.31,60.09,61.01,60.79,60.91,60.97,62.21
Hungary,72.18,71.33,72.09,72.19,71.99,73.02,73.34,73.95,74.18,74.38,74.42,74.45,74.67,74.8
Iceland,83.18,79.77,81.62,76.7,77.39,79.01,80.79,81.83,82.94,83.53,82.6,83.95,83.54,84.52
Ireland,69.65,63.98,66.14,66.49,66.07,69.12,71.61,72.59,73.17,73.69,72.85,73.08,73.81,74.26
Israel,68.53,66.65,66.13,65.83,65.28,65.71,67.12,68.27,69.07,69.07,69.55,69.04,70.18,70.18
Italy,58.79,56.72,57.02,57.32,56.68,57.94,58.85,59.43,59.51,60.2,60.12,60.74,60.98,61.32
Japan,78.05,77.08,77.18,77.49,77.74,77.81,78.01,77.95,78.05,78.55,78.62,78.59,78.55,78.89
Korea,66.76,65.42,65.63,65.63,65.63,66.41,66.81,67.26,68.05,68.53,68.72,68.74,68.84,69.24
Latvia,71.59,71.41,71.45,71.37,68.81,69.59,70.88,70.23,70.55,71.5,71.86,71.31,70.88,71.77
Lithuania,72.72,71.44,70.78,71.51,71.16,71.82,73.16,73.62,72.94,74.07,74.83,73.17,72.43,73.5
Luxembourg,66.76,66.72,66.94,68.56,68.1,69.65,70.21,69.47,70.59,70.14,70.05,69.72,70.6,70.76
Mexico,62.58,51.41,56.87,59.23,59.6,61.12,61.51,61.91,61.86,62.59,62.54,63.15,63.83,63.38
Netherlands,80.11,78.95,78.87,79.24,79.43,79.83,80.42,80.85,81.38,81.85,81.73,82.08,82.28,82.51
New Zealand,77.68,76.85,76.11,76.52,77.12,77.85,79.1,79.27,79.11,79.22,80.13,80.26,80.36,80.39
Norway,75.53,74.36,74.17,74.6,74.88,75.98,76.92,77.39,77.86,77.84,77.68,77.51,77.31,77.53
Poland,67.7,67.29,67.9,68.44,69.39,70.1,70.76,70.92,71.2,71.3,71.12,71.75,72.14,71.96
Portugal,69.59,67.46,68.1,68.93,68.24,69.68,70.45,70.52,71.23,71.05,71.66,71.63,71.9,72.53
Russia,71.08,70.18,69.7,69.75,70.26,71.38,71.97,72.26,,,,,,
Slovak Republic,70.09,69.15,69.33,69.39,68.12,69.09,70.06,70.52,70.77,71.46,71.42,71.67,71.53,71.96
Slovenia,71.33,69.36,69.5,70.08,69.01,71.66,72.77,72.33,73.16,72.98,73.43,72.94,72,72.88
South Africa,42.28,36.02,37.51,38.34,38.13,37.56,35.98,36.46,37.35,38.59,39.14,39.39,39.99,40.02
Spain,62.67,59.34,60.67,61.09,61.22,62.49,63.38,63.9,64.1,64.57,64.54,64.41,64.66,65.41
Sweden,75.84,74.56,74.44,74.67,74.45,75.33,75.65,76.09,76.59,77.13,77.41,77.29,77.5,77.6
Switzerland,80.61,79.1,79.76,80.27,79.01,78.43,79.46,80.17,79.53,79.27,79.35,79.7,80.08,80.67
Türkiye,48.82,45.71,47.78,47.76,49.15,49.54,50.76,51.57,51.95,52.79,52.83,53.76,53.78,53.53
United Kingdom,76.33,75.71,74.92,74.58,74.67,75.02,75.34,75.47,75.63,75.52,75.48,75.63,75.88,75.73
United States,71.37,62.39,66.39,67.88,68.39,68.9,69.76,70.55,70.97,71.27,71.41,71.39,71.77,71.97
