Location ▾,▾ Jan-2020,▾ Feb-2020,▾ Mar-2020,▾ Apr-2020,▾ May-2020,▾ Jun-2020,▾ Jul-2020,▾ Aug-2020,▾ Sep-2020,▾ Oct-2020,▾ Nov-2020,▾ Dec-2020,▾ Jan-2021,▾ Feb-2021,▾ Mar-2021,▾ Apr-2021,▾ May-2021,▾ Jun-2021,▾ Jul-2021,▾ Aug-2021,▾ Sep-2021,▾ Oct-2021,▾ Nov-2021,▾ Dec-2021,▾ Jan-2022,▾ Feb-2022,▾ Mar-2022,▾ Apr-2022,▾ May-2022,▾ Jun-2022,▾ Jul-2022,▾ Aug-2022,▾ Sep-2022,▾ Oct-2022,▾ Nov-2022,▾ Dec-2022,▾ Jan-2023,▾ Feb-2023,▾ Mar-2023,▾ Apr-2023,▾ May-2023,,,,,,
Argentina,52.9,50.3,48.4,45.6,43.4,42.8,42.4,40.7,36.6,37.2,35.8,36.1,38.5,40.7,42.6,46.3,48.8,50.2,51.8,51.4,52.5,52.1,51.2,50.9,50.7,52.3,55.1,58,60.7,64,71,78.5,83,88,92.4,94.8,98.8,102.5,104.3,108.8,114.2,,,,,,
Australia,,2.2,,,-0.3,,,0.7,,,0.9,,,1.1,,,3.8,,,3,,,3.5,,,5.1,,,6.1,,,7.3,,,7.8,,,7,,,6,,,,,,
Austria,2,2.1,1.5,1.4,0.6,1.1,1.6,1.3,1.3,1.3,1.2,1.1,0.8,1.2,2,1.9,2.8,2.8,2.9,3.2,3.3,3.7,4.3,4.3,5,5.8,6.8,7.2,7.7,8.7,9.4,9.3,10.6,11,10.6,10.2,11.2,10.9,9.2,9.6,8.9,,,,,,
Belgium,1.4,1.1,0.6,0.6,0.5,0.6,0.7,0.8,0.9,0.7,0.5,0.4,0.3,0.5,0.9,1.2,1.5,1.6,2.3,2.7,2.9,4.2,5.6,5.7,7.6,8,8.3,8.3,9,9.6,9.6,9.9,11.3,12.3,10.6,10.4,8,6.6,6.7,5.6,5.2,,,,,,
Brazil,4.2,4,3.3,2.4,1.9,2.1,2.3,2.4,3.1,3.9,4.3,4.5,4.6,5.2,6.1,6.8,8.1,8.3,9,9.7,10.2,10.7,10.7,10.1,10.4,10.5,11.3,12.1,11.7,11.9,10.1,8.7,7.2,6.5,5.9,5.8,5.8,5.6,4.7,4.2,3.9,,,,,,
Canada,2.4,2.2,0.9,-0.2,-0.4,0.7,0.1,0.1,0.5,0.7,1,0.7,1,1.1,2.2,3.4,3.6,3.1,3.7,4.1,4.4,4.7,4.7,4.8,5.1,5.7,6.7,6.8,7.7,8.1,7.6,7,6.9,6.9,6.8,6.3,5.9,5.2,4.3,4.4,3.4,,,,,,
Chile,3.5,3.9,3.7,3.4,2.8,2.6,2.5,2.4,3.1,2.9,2.7,3,3.1,2.8,2.9,3.3,3.6,3.8,4.5,4.8,5.3,6,6.7,7.2,7.7,7.8,9.4,10.5,11.5,12.5,13.1,14.1,13.7,12.8,13.3,12.8,12.3,11.9,11.1,9.9,8.7,,,,,,
China (People's Republic of),5.4,5.2,4.3,3.3,2.4,2.5,2.7,2.4,1.7,0.5,-0.5,0.2,-0.3,-0.2,0.4,0.9,1.3,1.1,1,0.8,0.7,1.5,2.3,1.5,0.9,0.9,1.5,2.1,2.1,2.5,2.7,2.5,2.8,2.1,1.6,1.8,2.1,1,0.7,0.1,0.2,,,,,,
Colombia,3.6,3.7,3.9,3.5,2.9,2.2,2,1.9,2,1.7,1.5,1.6,1.6,1.6,1.5,1.9,3.3,3.6,4,4.4,4.5,4.6,5.3,5.6,6.9,8,8.5,9.2,9.1,9.7,10.2,10.8,11.4,12.2,12.5,13.1,13.3,13.3,13.3,12.8,12.4,,,,,,
Costa Rica,1.6,1.8,1.9,0.9,0.6,0.3,-0.2,-0.1,0.3,0.5,0.2,0.9,1,0.4,0.5,1.2,1.3,1.9,1.4,1.7,2.1,2.5,3.3,3.3,3.5,,,,,,,,,,,,,,,,,,,,,,
