Location ▾,▾ Q1-2020,▾ Q2-2020,▾ Q3-2020,▾ Q4-2020,▾ Q1-2021,▾ Q2-2021,▾ Q3-2021,▾ Q4-2021,▾ Q1-2022,▾ Q2-2022,▾ Q3-2022,▾ Q4-2022,▾ Q1-2023,▾ Q2-2023,▾ Q3-2023
Argentina,50.43,43.89,39.8,36.38,40.65,48.47,51.89,51.4,52.77,60.96,77.63,91.82,101.97,113,125.89
Australia,2.19,-0.35,0.69,0.86,1.11,3.85,3.01,3.5,5.09,6.14,7.27,7.83,7.02,6.03,5.37
Austria,1.87,1.04,1.41,1.2,1.34,2.51,3.13,4.07,5.84,7.86,9.79,10.59,10.41,8.83,6.8
Belgium,1.04,0.55,0.82,0.56,0.54,1.44,2.62,5.17,7.98,8.98,10.28,11.08,7.11,4.98,3.53
Brazil,3.83,2.14,2.63,4.25,5.29,7.72,9.64,10.49,10.74,11.92,8.65,6.05,5.34,3.76,4.59
Canada,1.81,0.02,0.27,0.78,1.44,3.35,4.06,4.73,5.83,7.55,7.15,6.67,5.15,3.52,3.69
Chile,3.7,2.93,2.68,2.88,2.95,3.59,4.89,6.63,8.31,11.52,13.65,12.98,11.79,8.72,5.63
China (People's Republic of),4.96,2.72,1.96,0.12,-0.11,1.27,1,1.78,1.15,2.26,2.65,1.84,1.24,0.1,-0.06
Colombia,3.73,2.85,1.94,1.62,1.56,2.96,4.31,5.16,7.83,9.33,10.83,12.63,13.29,12.44,11.4
Costa Rica,1.76,0.6,0.02,0.53,0.61,1.49,1.75,3.05,,,,,,,
Czechia,3.6,3.11,3.31,2.63,2.19,2.9,4.12,6.13,11.24,15.78,17.58,15.7,16.38,11.14,8.04
Denmark,0.62,0.1,0.52,0.45,0.71,1.65,1.9,3.15,4.84,7.44,9.21,9.24,7.33,3.55,2.14
Estonia,1.49,-1.15,-0.94,-1.13,0.66,3.08,5.55,9.34,12.84,20.24,23.77,20.44,17.12,11.29,5.07
Finland,0.81,-0.17,0.32,0.21,1.05,2.09,2.2,3.44,4.9,6.83,7.84,8.87,8.39,7,5.87
France,1.19,0.3,0.35,0.08,0.74,1.38,1.72,2.72,3.66,5.29,5.85,6.07,5.99,5.18,4.68
Germany,1.62,0.41,-0.92,-0.5,1.5,2.19,3.88,4.71,4.79,6.66,7.4,8.58,8.24,6.55,5.6
Greece,0.36,-1.38,-1.9,-2.05,-1.62,0.29,1.82,4.45,7.44,11.2,11.68,8.27,5.88,2.52,2.28
Hungary,4.32,2.48,3.71,2.82,3.15,5.19,4.99,7.08,8.24,10.59,16.47,22.73,25.41,21.83,15.35
Iceland,2.09,2.5,3.24,3.55,4.23,4.41,4.3,4.83,6.18,7.88,9.67,9.43,9.98,9.41,7.77
